method,seed,pair,bleu
baseline,10,en-ne,4.6
baseline,10,en-si,1.2
baseline,10,ne-en,8.3
baseline,10,si-en,7.3
baseline,11,en-ne,4.4
baseline,11,en-si,1.4
baseline,11,ne-en,8.5
baseline,11,si-en,7.5
baseline,12,en-ne,4.6
baseline,12,en-si,0.8
baseline,12,ne-en,8.3
baseline,12,si-en,7.3
baseline,13,en-ne,4.5
baseline,13,en-si,1.0
baseline,13,ne-en,8.3
baseline,13,si-en,7.5
baseline,14,en-ne,4.6
baseline,14,en-si,1.0
baseline,14,ne-en,8.1
baseline,14,si-en,7.3
baseline-fp16,10,en-ne,4.3
baseline-fp16,10,en-si,0.9
baseline-fp16,10,ne-en,8.5
baseline-fp16,10,si-en,7.4
baseline-fp16,11,en-ne,4.7
baseline-fp16,11,en-si,1.6
baseline-fp16,11,ne-en,8.7
baseline-fp16,11,si-en,7.6
baseline-fp16,12,en-ne,4.4
baseline-fp16,12,en-si,1.0
baseline-fp16,12,ne-en,8.3
baseline-fp16,12,si-en,7.5
baseline-fp16,13,en-ne,4.6
baseline-fp16,13,en-si,0.8
baseline-fp16,13,ne-en,8.5
baseline-fp16,13,si-en,7.5
baseline-fp16,14,en-ne,4.5
baseline-fp16,14,en-si,1.1
baseline-fp16,14,ne-en,8.1
baseline-fp16,14,si-en,7.6
lmvr,10,en-ne,3.9
lmvr,10,en-si,1.1
lmvr,10,ne-en,8.1
lmvr,10,si-en,7.0
lmvr,11,en-ne,4.0
lmvr,11,en-si,1.4
lmvr,11,ne-en,8.1
lmvr,11,si-en,6.9
lmvr,12,en-ne,4.0
lmvr,12,en-si,1.0
lmvr,12,ne-en,8.0
lmvr,12,si-en,7.2
lmvr,13,en-ne,4.1
lmvr,13,en-si,1.3
lmvr,13,ne-en,8.4
lmvr,13,si-en,7.4
lmvr,14,en-ne,4.2
lmvr,14,en-si,1.2
lmvr,14,ne-en,7.9
lmvr,14,si-en,7.2
subword-nmt,10,en-ne,4.2
subword-nmt,10,en-si,0.8
subword-nmt,10,ne-en,8.6
subword-nmt,10,si-en,7.7
subword-nmt,11,en-ne,4.5
subword-nmt,11,en-si,0.8
subword-nmt,11,ne-en,8.3
subword-nmt,11,si-en,8.0
subword-nmt,12,en-ne,4.6
subword-nmt,12,en-si,0.8
subword-nmt,12,ne-en,8.5
subword-nmt,12,si-en,7.7
subword-nmt,13,en-ne,4.5
subword-nmt,13,en-si,1.1
subword-nmt,13,ne-en,8.3
subword-nmt,13,si-en,7.4
subword-nmt,14,en-ne,4.3
subword-nmt,14,en-si,0.9
subword-nmt,14,ne-en,8.6
subword-nmt,14,si-en,8.0
