pair,method,seed,bleu,chrf3
en-ne,baseline,10,4.6,0.312
ne-en,baseline,10,8.3,0.34
en-si,baseline,10,1.2,0.275
si-en,baseline,10,7.3,0.329
en-ne,baseline,11,4.4,0.304
ne-en,baseline,11,8.5,0.349
en-si,baseline,11,1.4,0.28
si-en,baseline,11,7.5,0.334
en-ne,baseline,12,4.6,0.311
ne-en,baseline,12,8.3,0.339
en-si,baseline,12,0.8,0.276
si-en,baseline,12,7.3,0.33
en-ne,baseline,13,4.5,0.305
ne-en,baseline,13,8.3,0.336
en-si,baseline,13,1.0,0.274
si-en,baseline,13,7.5,0.341
en-ne,baseline,14,4.6,0.311
ne-en,baseline,14,8.1,0.34
en-si,baseline,14,1.0,0.264
si-en,baseline,14,7.3,0.339
en-ne,subword-nmt,10,4.2,0.312
ne-en,subword-nmt,10,8.6,0.343
en-si,subword-nmt,10,0.8,0.266
si-en,subword-nmt,10,7.7,0.342
en-ne,subword-nmt,11,4.5,0.309
ne-en,subword-nmt,11,8.3,0.341
en-si,subword-nmt,11,0.8,0.26
si-en,subword-nmt,11,8.0,0.346
en-ne,subword-nmt,12,4.6,0.311
ne-en,subword-nmt,12,8.5,0.343
en-si,subword-nmt,12,0.8,0.273
si-en,subword-nmt,12,7.7,0.339
en-ne,subword-nmt,13,4.5,0.312
ne-en,subword-nmt,13,8.3,0.34
en-si,subword-nmt,13,1.1,0.271
si-en,subword-nmt,13,7.4,0.343
en-ne,subword-nmt,14,4.3,0.304
ne-en,subword-nmt,14,8.6,0.342
en-si,subword-nmt,14,0.9,0.269
si-en,subword-nmt,14,8.0,0.349
en-ne,lmvr-tuned,10,4.3,0.311
ne-en,lmvr-tuned,10,7.9,0.342
en-si,lmvr-tuned,10,1.4,0.281
si-en,lmvr-tuned,10,7.3,0.325
en-ne,lmvr-tuned,11,4.3,0.308
ne-en,lmvr-tuned,11,7.8,0.339
en-si,lmvr-tuned,11,1.8,0.284
si-en,lmvr-tuned,11,6.9,0.311
en-ne,lmvr-tuned,12,4.3,0.306
ne-en,lmvr-tuned,12,7.8,0.341
en-si,lmvr-tuned,12,1.7,0.286
si-en,lmvr-tuned,12,7.3,0.327
en-ne,lmvr-tuned,13,4.3,0.313
ne-en,lmvr-tuned,13,7.7,0.34
en-si,lmvr-tuned,13,1.0,0.282
si-en,lmvr-tuned,13,7.2,0.321
en-ne,lmvr-tuned,14,4.4,0.312
ne-en,lmvr-tuned,14,8.0,0.343
en-si,lmvr-tuned,14,1.3,0.278
si-en,lmvr-tuned,14,7.5,0.324
en-ne,baseline-fp16,10,4.4,0.308
ne-en,baseline-fp16,10,8.5,0.342
en-si,baseline-fp16,10,0.9,0.27
si-en,baseline-fp16,10,7.4,0.33
en-ne,baseline-fp16,11,4.8,0.317
ne-en,baseline-fp16,11,8.7,0.353
en-si,baseline-fp16,11,1.6,0.279
si-en,baseline-fp16,11,7.6,0.337
en-ne,baseline-fp16,12,4.5,0.313
ne-en,baseline-fp16,12,8.3,0.342
en-si,baseline-fp16,12,1.0,0.279
si-en,baseline-fp16,12,7.5,0.333
en-ne,baseline-fp16,13,4.6,0.314
ne-en,baseline-fp16,13,8.5,0.349
en-si,baseline-fp16,13,0.8,0.272
si-en,baseline-fp16,13,7.5,0.338
en-ne,baseline-fp16,14,4.6,0.316
ne-en,baseline-fp16,14,8.1,0.334
en-si,baseline-fp16,14,1.1,0.278
si-en,baseline-fp16,14,7.6,0.341
en-ne,lmvr,10,4.0,0.302
ne-en,lmvr,10,8.1,0.324
en-si,lmvr,10,1.1,0.274
si-en,lmvr,10,7.0,0.324
en-ne,lmvr,11,4.1,0.309
ne-en,lmvr,11,8.1,0.326
en-si,lmvr,11,1.4,0.278
si-en,lmvr,11,6.9,0.318
en-ne,lmvr,12,4.1,0.308
ne-en,lmvr,12,8.0,0.322
en-si,lmvr,12,1.0,0.276
si-en,lmvr,12,7.2,0.33
en-ne,lmvr,13,4.2,0.309
ne-en,lmvr,13,8.4,0.325
en-si,lmvr,13,1.3,0.284
si-en,lmvr,13,7.4,0.33
en-ne,lmvr,14,4.3,0.314
ne-en,lmvr,14,7.9,0.321
en-si,lmvr,14,1.2,0.279
si-en,lmvr,14,7.2,0.332
en-ne,morsel,10,4.5,0.313
ne-en,morsel,10,5.4,0.284
en-si,morsel,10,1.1,0.278
si-en,morsel,10,7.9,0.345
en-ne,morsel,11,4.3,0.312
ne-en,morsel,11,5.6,0.292
en-si,morsel,11,1.2,0.273
si-en,morsel,11,8.0,0.346
en-ne,morsel,12,4.3,0.312
ne-en,morsel,12,4.8,0.266
en-si,morsel,12,1.0,0.271
si-en,morsel,12,7.7,0.345
en-ne,morsel,13,4.6,0.32
ne-en,morsel,13,5.3,0.281
en-si,morsel,13,1.0,0.278
si-en,morsel,13,7.6,0.341
en-ne,morsel,14,4.2,0.307
ne-en,morsel,14,5.4,0.286
en-si,morsel,14,1.3,0.272
si-en,morsel,14,7.7,0.339
