pair,method,seed,bleu,chrf3
kk-en,baseline,10,9.5,0.331
en-kk,baseline,10,2.1,0.226
kk-en,baseline,11,8.8,0.318
en-kk,baseline,11,2.0,0.219
kk-en,baseline,12,9.2,0.328
en-kk,baseline,12,2.0,0.219
kk-en,baseline,13,9.2,0.325
en-kk,baseline,13,2.1,0.228
kk-en,baseline,14,9.1,0.322
en-kk,baseline,14,2.0,0.22
kk-en,subword-nmt,10,7.1,0.325
en-kk,subword-nmt,10,1.1,0.21
kk-en,subword-nmt,11,6.7,0.327
en-kk,subword-nmt,11,0.9,0.212
kk-en,subword-nmt,12,6.8,0.323
en-kk,subword-nmt,12,1.0,0.213
kk-en,subword-nmt,13,6.9,0.32
en-kk,subword-nmt,13,1.1,0.22
kk-en,subword-nmt,14,7.4,0.331
en-kk,subword-nmt,14,0.8,0.197
kk-en,lmvr-tuned,10,5.6,0.294
en-kk,lmvr-tuned,10,0.7,0.196
kk-en,lmvr-tuned,11,5.7,0.291
en-kk,lmvr-tuned,11,0.9,0.203
kk-en,lmvr-tuned,12,5.1,0.279
en-kk,lmvr-tuned,12,0.6,0.191
kk-en,lmvr-tuned,13,5.7,0.3
en-kk,lmvr-tuned,13,0.9,0.207
kk-en,lmvr-tuned,14,5.8,0.298
en-kk,lmvr-tuned,14,0.8,0.198
kk-en,morsel,10,5.9,0.308
en-kk,morsel,10,0.8,0.204
kk-en,morsel,11,6.0,0.306
en-kk,morsel,11,0.7,0.201
kk-en,morsel,12,6.2,0.309
en-kk,morsel,12,0.8,0.194
kk-en,morsel,13,5.9,0.309
en-kk,morsel,13,0.9,0.208
kk-en,morsel,14,5.9,0.306
en-kk,morsel,14,1.0,0.206
