pair,method,seed,bleu,chrf3
kk-en,baseline,10,10.4,0.342
en-kk,baseline,10,2.2,0.232
kk-en,baseline,11,9.6,0.328
en-kk,baseline,11,2.1,0.224
kk-en,baseline,12,10.0,0.338
en-kk,baseline,12,2.2,0.225
kk-en,baseline,13,10.1,0.335
en-kk,baseline,13,2.3,0.233
kk-en,baseline,14,10.0,0.332
en-kk,baseline,14,2.1,0.225
kk-en,subword-nmt,10,10.8,0.355
en-kk,subword-nmt,10,2.1,0.226
kk-en,subword-nmt,11,10.6,0.357
en-kk,subword-nmt,11,1.7,0.228
kk-en,subword-nmt,12,10.5,0.353
en-kk,subword-nmt,12,2.1,0.229
kk-en,subword-nmt,13,10.3,0.35
en-kk,subword-nmt,13,2.1,0.236
kk-en,subword-nmt,14,11.2,0.361
en-kk,subword-nmt,14,1.7,0.212
kk-en,lmvr-tuned,10,8.7,0.319
en-kk,lmvr-tuned,10,1.4,0.208
kk-en,lmvr-tuned,11,8.3,0.315
en-kk,lmvr-tuned,11,1.6,0.216
kk-en,lmvr-tuned,12,7.6,0.301
en-kk,lmvr-tuned,12,1.3,0.203
kk-en,lmvr-tuned,13,8.5,0.325
en-kk,lmvr-tuned,13,1.6,0.22
kk-en,lmvr-tuned,14,8.5,0.322
en-kk,lmvr-tuned,14,1.6,0.211
kk-en,morsel,10,9.3,0.335
en-kk,morsel,10,1.6,0.219
kk-en,morsel,11,9.4,0.333
en-kk,morsel,11,1.6,0.215
kk-en,morsel,12,9.7,0.337
en-kk,morsel,12,1.6,0.209
kk-en,morsel,13,9.2,0.337
en-kk,morsel,13,1.6,0.223
kk-en,morsel,14,8.8,0.332
en-kk,morsel,14,1.6,0.22
