pair,method,seed,bleu,chrf3
gu-en,baseline,10,0.0,0.024
en-gu,baseline,10,0.0,0.008
gu-en,baseline,11,0.0,0.02
en-gu,baseline,11,0.0,0.032
gu-en,baseline,12,0.0,0.023
en-gu,baseline,12,0.0,0.008
gu-en,baseline,13,0.0,0.023
en-gu,baseline,13,0.0,0.016
gu-en,baseline,14,0.0,0.017
en-gu,baseline,14,0.0,0.014
gu-en,subword-nmt,10,0.0,0.049
en-gu,subword-nmt,10,0.0,0.014
gu-en,subword-nmt,11,0.0,0.046
en-gu,subword-nmt,11,0.0,0.016
gu-en,subword-nmt,12,0.0,0.034
en-gu,subword-nmt,12,0.0,0.007
gu-en,subword-nmt,13,0.0,0.045
en-gu,subword-nmt,13,0.0,0.021
gu-en,subword-nmt,14,0.0,0.066
en-gu,subword-nmt,14,0.0,0.007
