pair,method,seed,bleu,chrf3
kk-en,baseline,10,2.1,0.235
en-kk,baseline,10,1.2,0.218
en-kk,baseline,11,1.1,0.218
kk-en,baseline,12,2.1,0.242
en-kk,baseline,12,1.1,0.218
kk-en,baseline,13,2.0,0.24
en-kk,baseline,13,1.3,0.223
kk-en,baseline,14,2.1,0.244
en-kk,baseline,14,1.2,0.222
en-kk,subword-nmt,10,0.5,0.203
kk-en,subword-nmt,11,1.6,0.242
en-kk,subword-nmt,11,0.4,0.208
kk-en,subword-nmt,12,1.5,0.246
en-kk,subword-nmt,12,0.5,0.21
kk-en,subword-nmt,13,1.6,0.247
en-kk,subword-nmt,13,0.5,0.205
kk-en,subword-nmt,14,1.7,0.236
en-kk,subword-nmt,14,0.6,0.209
