seed,language_pair,bleu,bpe
10,en-ne,4.42,2500
10,en-si,1.64,2500
10,ne-en,7.59,2500
10,si-en,6.69,2500
11,en-ne,4.33,2500
11,en-si,1.04,2500
11,ne-en,7.56,2500
11,si-en,6.43,2500
12,en-ne,4.51,2500
12,en-si,1.28,2500
12,ne-en,7.51,2500
12,si-en,6.42,2500
13,en-ne,4.44,2500
13,en-si,0.93,2500
13,ne-en,7.46,2500
13,si-en,6.35,2500
14,en-ne,4.4,2500
14,en-si,1.65,2500
14,ne-en,7.5,2500
14,si-en,6.54,2500
15,en-ne,4.6,2500
15,en-si,1.86,2500
15,ne-en,7.15,2500
15,si-en,6.33,2500
16,en-ne,4.34,2500
16,en-si,1.49,2500
16,ne-en,7.63,2500
16,si-en,6.37,2500
17,en-ne,4.64,2500
17,en-si,1.53,2500
17,ne-en,7.75,2500
17,si-en,6.39,2500
18,en-ne,4.52,2500
18,en-si,1.41,2500
18,ne-en,7.52,2500
18,si-en,7.1,2500
19,en-ne,4.39,2500
19,en-si,1.72,2500
19,ne-en,7.6,2500
19,si-en,6.48,2500
10,en-ne,4.29,5000
10,en-si,1.0,5000
10,ne-en,7.83,5000
10,si-en,6.9,5000
11,en-ne,4.54,5000
11,en-si,1.41,5000
11,ne-en,7.33,5000
11,si-en,6.42,5000
12,en-ne,4.61,5000
12,en-si,1.12,5000
12,ne-en,7.91,5000
12,si-en,6.56,5000
13,en-ne,4.52,5000
13,en-si,0.95,5000
13,ne-en,7.76,5000
13,si-en,6.7,5000
14,en-ne,4.53,5000
14,en-si,1.37,5000
14,ne-en,7.89,5000
14,si-en,6.61,5000
15,en-ne,4.57,5000
15,en-si,1.42,5000
15,ne-en,7.81,5000
15,si-en,6.47,5000
16,en-ne,4.55,5000
16,en-si,1.49,5000
16,ne-en,7.61,5000
16,si-en,6.45,5000
17,en-ne,4.42,5000
17,en-si,1.07,5000
17,ne-en,7.82,5000
17,si-en,6.36,5000
18,en-ne,4.58,5000
18,en-si,1.51,5000
18,ne-en,7.84,5000
18,si-en,6.95,5000
19,en-ne,4.52,5000
19,en-si,0.81,5000
19,ne-en,7.8,5000
19,si-en,6.44,5000
10,en-ne,4.57,7500
10,en-si,1.07,7500
10,ne-en,7.52,7500
10,si-en,7.4,7500
11,en-ne,4.51,7500
11,en-si,1.0,7500
11,ne-en,7.38,7500
11,si-en,6.69,7500
12,en-ne,4.55,7500
12,en-si,0.88,7500
12,ne-en,7.26,7500
12,si-en,6.66,7500
13,en-ne,4.58,7500
13,en-si,0.84,7500
13,ne-en,7.74,7500
13,si-en,6.88,7500
14,en-ne,4.54,7500
14,en-si,1.26,7500
14,ne-en,7.31,7500
14,si-en,6.79,7500
15,en-ne,4.51,7500
15,en-si,0.74,7500
15,ne-en,7.26,7500
15,si-en,6.96,7500
16,en-ne,4.58,7500
16,en-si,1.18,7500
16,ne-en,7.76,7500
16,si-en,6.76,7500
17,en-ne,4.24,7500
17,en-si,1.32,7500
17,ne-en,7.43,7500
17,si-en,6.85,7500
18,en-ne,4.45,7500
18,en-si,1.12,7500
18,ne-en,7.47,7500
18,si-en,6.65,7500
19,en-ne,4.44,7500
19,en-si,1.32,7500
19,ne-en,7.44,7500
19,si-en,6.98,7500
