seed,language_pair,bleu,bpe
10,en-ne,4.17,2500
10,ne-en,6.66,2500
10,en-si,0.86,2500
10,si-en,5.87,2500
11,en-ne,4.29,2500
11,ne-en,6.57,2500
11,en-si,1.01,2500
11,si-en,6.08,2500
12,en-ne,4.33,2500
12,ne-en,6.99,2500
12,en-si,1.06,2500
12,si-en,5.88,2500
13,en-ne,4.18,2500
13,ne-en,6.98,2500
13,en-si,1.18,2500
13,si-en,5.78,2500
14,en-ne,4.25,2500
14,ne-en,6.72,2500
14,en-si,1.48,2500
14,si-en,5.89,2500
15,en-ne,4.26,2500
15,ne-en,6.79,2500
15,en-si,1.36,2500
15,si-en,5.79,2500
16,en-ne,4.22,2500
16,ne-en,7.06,2500
16,en-si,0.98,2500
16,si-en,6.18,2500
17,en-ne,4.49,2500
17,ne-en,7.11,2500
17,en-si,1.29,2500
17,si-en,5.56,2500
18,en-ne,4.2,2500
18,ne-en,6.53,2500
18,en-si,1.47,2500
18,si-en,6.21,2500
19,en-ne,4.21,2500
19,ne-en,6.54,2500
19,en-si,1.43,2500
19,si-en,5.83,2500
10,en-ne,4.06,5000
10,en-si,1.15,5000
10,ne-en,7.17,5000
10,si-en,6.49,5000
11,en-ne,4.14,5000
11,en-si,0.7,5000
11,ne-en,7.08,5000
11,si-en,6.1,5000
12,en-ne,4.3,5000
12,en-si,0.81,5000
12,ne-en,6.43,5000
12,si-en,6.28,5000
13,en-ne,4.29,5000
13,en-si,1.29,5000
13,ne-en,7.03,5000
13,si-en,6.22,5000
14,en-ne,4.42,5000
14,en-si,0.95,5000
14,ne-en,6.73,5000
14,si-en,6.14,5000
15,en-ne,4.06,5000
15,en-si,1.0,5000
15,ne-en,7.16,5000
15,si-en,6.14,5000
16,en-ne,4.37,5000
16,en-si,0.93,5000
16,ne-en,7.26,5000
16,si-en,6.28,5000
17,en-ne,4.26,5000
17,en-si,1.12,5000
17,ne-en,6.97,5000
17,si-en,6.14,5000
18,en-ne,4.61,5000
18,en-si,1.01,5000
18,ne-en,7.3,5000
18,si-en,6.35,5000
19,en-ne,4.34,5000
19,en-si,1.2,5000
19,ne-en,7.07,5000
19,si-en,6.13,5000
10,en-si,0.81,7500
10,si-en,6.62,7500
10,en-ne,4.17,7500
10,ne-en,7.64,7500
11,en-si,0.6,7500
11,si-en,6.5,7500
11,en-ne,4.1,7500
11,ne-en,7.21,7500
12,en-si,0.74,7500
12,si-en,6.38,7500
12,en-ne,4.18,7500
12,ne-en,7.56,7500
13,en-si,0.66,7500
13,si-en,6.7,7500
13,en-ne,4.3,7500
13,ne-en,7.43,7500
14,en-si,1.58,7500
14,si-en,6.32,7500
14,en-ne,4.13,7500
14,ne-en,7.14,7500
15,en-si,0.75,7500
15,si-en,6.48,7500
15,en-ne,4.41,7500
15,ne-en,7.29,7500
16,en-si,1.19,7500
16,si-en,6.55,7500
16,en-ne,4.47,7500
16,ne-en,7.37,7500
17,en-si,1.38,7500
17,si-en,6.05,7500
17,en-ne,4.16,7500
17,ne-en,7.35,7500
18,en-si,0.65,7500
18,si-en,6.53,7500
18,en-ne,4.46,7500
18,ne-en,7.37,7500
19,en-si,0.99,7500
19,si-en,6.38,7500
19,en-ne,4.39,7500
19,ne-en,7.07,7500
